PERMIT#,STREET_NUMBER,STREET DIRECTION,STREET_NAME,SUFFIX,ADDRESS
100637362,1118,N,STATE,ST,1118 N STATE ST
100624621,2330,N,HALSTED,ST,2330 N HALSTED ST
100636252,1035,W,VAN BUREN,ST,1035 W VAN BUREN ST
100637956,905,N,ORLEANS,ST,905 N ORLEANS ST
100635862,30,E,BALBO,AVE,30 E BALBO AVE
100640411,1330,W,FULTON,ST,1330 W FULTON ST
100637787,750,N,HUDSON,AVE,750 N HUDSON AVE
100635854,171,N,ABERDEEN,ST,171 N ABERDEEN ST
100646408,822,N,CLARK,ST,822 N CLARK ST
100637786,2121,S,PRAIRIE,AVE,2121 S PRAIRIE AVE
100636843,401,N,MICHIGAN,AVE,401 N MICHIGAN AVE
100640842,8,E,HURON,ST,8 E HURON ST
100636102,801,S,FINANCIAL,PL,801 S FINANCIAL PL
100640409,2950,N,SHERIDAN,RD,2950 N SHERIDAN RD
100653082,1201,N,LA SALLE,DR,1201 N LA SALLE DR
100651209,311,W,ILLINOIS,ST,311 W ILLINOIS ST
100650025,165,N,DESPLAINES,ST,165 N DESPLAINES ST
100650714,625,W,ADAMS,ST,625 W ADAMS ST
100649957,1140,N,WELLS,ST,1140 N WELLS ST
100653074,1118,N,STATE,ST,1118 N STATE ST
100097115,2128,W,FULTON,ST,2128 W FULTON ST
100471345,4814,S,WENTWORTH,AVE,4814 S WENTWORTH AVE
100566582,707,N,WELLS,ST,707 N WELLS ST
100587080,707,N,WELLS,ST,707 N WELLS ST
100650043,3630,N,CLARK,ST,3630 N CLARK ST
100655109,215,W,LAKE,ST,215 W LAKE ST
100644660,151,N,FRANKLIN,ST,151 N FRANKLIN ST
100658356,930,W,ALTGELD,ST,930 W ALTGELD ST
100652353,412,N,WELLS,ST,412 N WELLS ST
100649947,1136,S,WABASH,AVE,1136 S WABASH AVE
100639182,311,N,MORGAN,ST,311 N MORGAN ST
100649962,167,W,ERIE,ST,167 W ERIE ST
100650016,1001,W,CHICAGO,AVE,1001 W CHICAGO AVE
100650705,640,N,WELLS,ST,640 N WELLS ST
100650725,451,E,GRAND,AVE,451 E GRAND AVE
100663179,303,E,SUPERIOR,ST,303 E SUPERIOR ST
100649968,9,W,WALTON,ST,9 W WALTON ST
100659163,465,N,PARK,DR,465 N PARK DR
100667302,151,N,FRANKLIN,ST,151 N FRANKLIN ST
100668257,171,N,ABERDEEN,ST,171 N ABERDEEN ST
100667308,854,W,RANDOLPH,ST,854 W RANDOLPH ST
